Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2017","2017","t","36770"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2018","2018","t","57450"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01444","Sesame seed","2016","2016","t","32000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01444","Sesame seed","2017","2017","t","32000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01444","Sesame seed","2018","2018","t","32000"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21514","Sheep fat, unrendered","2016","2016","t","6056.35"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21514","Sheep fat, unrendered","2017","2017","t","6330.42"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","21514","Sheep fat, unrendered","2018","2018","t","6187.5"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02941","Shorn wool, greasy, including fleece-washed shorn wool","2016","2016","t","15073.99"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02941","Shorn wool, greasy, including fleece-washed shorn wool","2017","2017","t","14879.16"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02941","Shorn wool, greasy, including fleece-washed shorn wool","2018","2018","t","14800"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02944","Silk-worm cocoons suitable for reeling","2016","2016","t","500"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02944","Silk-worm cocoons suitable for reeling","2017","2017","t","500"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","02944","Silk-worm cocoons suitable for reeling","2018","2018","t","500"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01801","Sugar beet","2016","2016","t","1582"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01801","Sugar beet","2017","2017","t","2102"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01801","Sugar beet","2018","2018","t","5363"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01802","Sugar cane","2016","2016","t","17364"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01802","Sugar cane","2017","2017","t","33725"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01802","Sugar cane","2018","2018","t","25421"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01445","Sunflower seed","2016","2016","t","652.79"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01445","Sunflower seed","2017","2017","t","738.49"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01445","Sunflower seed","2018","2018","t","804.87"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01376","Walnuts, in shell","2016","2016","t","6515"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01376","Walnuts, in shell","2017","2017","t","7145"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01376","Walnuts, in shell","2018","2018","t","10804"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01221","Watermelons","2016","2016","t","862341"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01221","Watermelons","2017","2017","t","790007.54"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","01221","Watermelons","2018","2018","t","342447.39"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0111","Wheat","2016","2016","t","4555110"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0111","Wheat","2017","2017","t","4280776"
"QCL","Crops and livestock products","AFG","Afghanistan","5510","Production","0111","Wheat","2018","2018","t","3613300"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01341","Apples","2016","2016","t","101532"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01341","Apples","2017","2017","t","96337.77"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01341","Apples","2018","2018","t","108375"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01343","Apricots","2016","2016","t","5194"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01343","Apricots","2017","2017","t","5039.63"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01343","Apricots","2018","2018","t","5139"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","0115","Barley","2016","2016","t","9000"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","0115","Barley","2017","2017","t","9035"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","0115","Barley","2018","2018","t","9655"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01701","Beans, dry","2016","2016","t","24860"
"QCL","Crops and livestock products","ALB","Albania","5510","Production","01701","Beans, dry","2017","2017","t","21200"
